관광지명,Group4,Group4_tag,group4_1,group4_1_tag,group4_2,group4_2_tag,group4_3,group4_3_tag
낙천리아홉굿의자마을,1,"['관광', '마을', '어린이', '맑음', '관광지', '산책', '동반', '무장애']",1.0,"['관광', '어린이', '관광지', '맑음', '무장애', '마을', '산책']",0.0,"['맑음', '어린이']",0.0,"['동반', '관광', '무장애']"
낙타트래킹,1,"['체험', '레저', '커플', '친구']",1.0,"['친구', '커플', '레저']",1.0,"['레저', '커플', '친구']",1.0,"['커플', '레저', '친구']"
너도나도 ATV,1,"['체험', '관광', '맑음']",1.0,"['관광', '맑음']",0.0,['맑음'],0.0,['관광']
넌걸어난탈래,1,"['체험', '레저', '맑음', '커플', '친구']",1.0,"['친구', '커플', '레저', '맑음']",1.0,"['레저', '맑음', '커플', '친구']",0.0,"['커플', '레저', '친구']"
노루생태관찰원,1,"['체험', '레저', '관광', '어린이', '맑음', '관광지', '무장애']",1.0,"['관광', '어린이', '관광지', '레저', '맑음', '무장애']",0.0,"['레저', '맑음', '어린이']",0.0,"['관광', '레저', '무장애']"
놀자개,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
니모스토리,1,"['체험', '관광', '맑음', '해변', '여름']",0.0,"['관광', '맑음']",1.0,"['맑음', '여름', '해변']",0.0,['관광']
달중이네펫호텔,1,['동반'],0.0,,0.0,,1.0,['동반']
댕금님표수제간식,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
댕댕놀이터,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
댕댕샤워,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
댕댕스위트,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
더 플래닛(THE PLANET),1,"['체험', '관광', '어린이', '커플', '친구', '관광지', '무장애']",1.0,"['관광', '어린이', '관광지', '친구', '커플', '무장애']",0.0,"['커플', '친구', '어린이']",0.0,"['커플', '관광', '무장애', '친구']"
더마카트,1,"['체험', '레저', '관광', '어린이', '커플']",1.0,"['관광', '어린이', '커플', '레저']",0.0,"['레저', '커플', '어린이']",0.0,"['커플', '관광', '레저']"
더마파크,1,"['체험', '레저', '관광', '어린이', '맑음', '승마', '무장애']",1.0,"['관광', '어린이', '레저', '맑음', '무장애']",0.0,"['레저', '맑음', '어린이']",0.0,"['승마', '관광', '레저', '무장애']"
더칠린,1,['동반'],0.0,,0.0,,1.0,['동반']
뎁스원 프리다이빙센터,1,"['체험', '관광', '맑음', '해변']",1.0,"['관광', '맑음']",1.0,"['맑음', '해변']",0.0,['관광']
도곤도곤 애견미용실,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
도그앤캣,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
도도펫,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
도두해안도로,1,"['맑음', '커플', '여름']",0.0,"['커플', '맑음']",1.0,"['맑음', '여름', '커플']",0.0,['커플']
돈내코,1,"['체험', '레저', '관광', '어린이', '맑음', '수상', '관광지', '물놀이', '여름']",0.0,"['관광', '어린이', '관광지', '레저', '맑음']",1.0,"['레저', '맑음', '수상', '여름', '물놀이', '어린이']",0.0,"['관광', '레저']"
돈내코유원지,1,"['체험', '레저', '어린이', '맑음', '수상', '물놀이', '여름']",0.0,"['어린이', '레저', '맑음']",1.0,"['레저', '맑음', '수상', '여름', '물놀이', '어린이']",0.0,['레저']
동산농원 딸기체험장,1,"['체험', '관광', '어린이', '커플', '친구']",1.0,"['관광', '어린이', '친구', '커플']",0.0,"['커플', '친구', '어린이']",0.0,"['커플', '관광', '친구']"
뒹굴개,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
드르쿰다ATV IN 상효,1,"['체험', '관광', '맑음', '친구']",1.0,"['관광', '친구', '맑음']",0.0,"['맑음', '친구']",0.0,"['관광', '친구']"
등머을레져,1,"['체험', '레저', '맑음', '수상']",0.0,"['레저', '맑음']",1.0,"['레저', '맑음', '수상']",0.0,['레저']
디스커버제주,1,"['체험', '레저', '커플', '친구']",1.0,"['친구', '커플', '레저']",1.0,"['레저', '커플', '친구']",1.0,"['커플', '레저', '친구']"
디어마이프렌즈,1,['동반'],0.0,,0.0,,1.0,['동반']
디어펫,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
디퍼프리다이브,1,"['체험', '관광', '맑음', '해변', '여름']",0.0,"['관광', '맑음']",1.0,"['맑음', '여름', '해변']",0.0,['관광']
라온골프클럽,1,"['체험', '레저', '커플', '친구']",1.0,"['친구', '커플', '레저']",1.0,"['레저', '커플', '친구']",1.0,"['커플', '레저', '친구']"
라온승마클럽,1,"['체험', '레저', '커플', '승마']",0.0,"['커플', '레저']",0.0,"['레저', '커플']",1.0,"['승마', '커플', '레저']"
라이프동물병원,1,['동반'],0.0,,0.0,,1.0,['동반']
라인업서프 하도,1,"['체험', '관광', '맑음', '해변', '여름']",0.0,"['관광', '맑음']",1.0,"['맑음', '여름', '해변']",0.0,['관광']
레더한,1,"['체험', '관광', '커플']",1.0,"['관광', '커플']",0.0,['커플'],1.0,"['커플', '관광']"
